id,name,slug,status,twitter,twitter_handles,parent,appeal_agency,url,foia_logs,foia_guide,public_notes,absolute_url,average_response_time,fee_rate,success_rate,has_portal,has_email,has_fax,has_address,number_requests,number_requests_completed,number_requests_rejected,number_requests_no_docs,number_requests_ack,number_requests_resp,number_requests_fix,number_requests_appeal,number_requests_pay,number_requests_partial,number_requests_lawsuit,number_requests_withdrawn,jurisdiction name,jurisdiction parent,jurisdiction level,jurisdiction-level,success_category
10,Federal Bureau of Investigation,federal-bureau-of-investigation,approved,,,,5123.0,http://www.fbi.gov/foia/contact-the-record-information-dissemination-section-rids,,,"Note: Ryan Shapiro provided fantastic tips on submitting FOIA requests to the FBI in <a href=""https://www.muckrock.com/news/archives/2013/dec/20/requesters-voice-ryan-shapiro-street-fighting-fbi-/"">his Requester's Voice interview</a>. We highly recommend following Shapiro's suggestions of including ""cross-reference"" and ""ELSUR (Electronic Surveillance)"" search requests in your request language.",https://www.muckrock.com/agency/united-states-of-america-10/federal-bureau-of-investigation-10/,154,2.0,20.0,True,True,True,True,6288,1263,826,2242,7,1232,197,105,75,51,4,283,United States of America,,f,Federal,0-25%
6,Central Intelligence Agency,central-intelligence-agency,approved,,,,,,,,,https://www.muckrock.com/agency/united-states-of-america-10/central-intelligence-agency-6/,226,0.0,11.0,True,False,False,True,1440,163,396,149,31,484,45,97,5,2,0,67,United States of America,,f,Federal,0-25%
17,National Security Agency,national-security-agency,approved,@NSAGov,,,7498.0,https://www.nsa.gov/about/contact-us/Submit-a-FOIA-Request/,,http://www.nsa.gov/public_info/declass/records_management/handbook.pdf,"Questions about the status of a request may be sent to foiarsc@nsa.gov, but the Agency will not accept reqests via email as of the time of this writing.",https://www.muckrock.com/agency/united-states-of-america-10/national-security-agency-17/,334,1.0,17.0,False,False,True,True,697,110,195,86,45,179,17,14,3,9,0,38,United States of America,,f,Federal,0-25%
14,U.S. Department of State,department-of-state,approved,,,,6565.0,,,,,https://www.muckrock.com/agency/united-states-of-america-10/department-of-state-14/,507,0.0,15.0,False,False,False,True,687,100,39,56,38,288,55,6,3,9,0,93,United States of America,,f,Federal,0-25%
9,Department of Homeland Security,department-of-homeland-security,approved,,,,6469.0,http://www.dhs.gov/about-privacy-office,,,,https://www.muckrock.com/agency/united-states-of-america-10/department-of-homeland-security-9/,184,0.0,19.0,False,True,False,True,678,128,72,63,70,95,104,11,2,3,0,127,United States of America,,f,Federal,0-25%
137,Drug Enforcement Administration,drug-enforcement-administration,approved,,,,5123.0,http://www.justice.gov/dea/foia/dea.htm,,,,https://www.muckrock.com/agency/united-states-of-america-10/drug-enforcement-administration-137/,144,3.0,25.0,False,True,True,True,510,127,67,116,44,43,35,5,7,4,0,62,United States of America,,f,Federal,0-25%
272,New York City Police Department,new-york-city-police-department,approved,,,,6510.0,http://www.nyc.gov/html/nypd/html/legal_matters/dclm_doc_production_foil.shtml,,,"The email address of the NYPD records access officer is RICHARD.MANTELLINO@nypd.org

Snail mail only",https://www.muckrock.com/agency/new-york-city-17/new-york-city-police-department-272/,119,3.0,18.0,True,False,False,True,496,86,183,70,5,51,3,14,5,4,0,73,New York City,New York,l,Local,0-25%
133,Immigration and Customs Enforcement,immigration-and-customs-enforcement,approved,,,,7158.0,http://www.ice.gov/foia/,,,,https://www.muckrock.com/agency/united-states-of-america-10/immigration-and-customs-enforcement-133/,190,0.0,28.0,True,True,False,True,479,134,37,67,5,105,62,6,1,3,1,56,United States of America,,f,Federal,26-50%
503,Chicago Police Department,chicago-police-department,approved,,,,,http://chicagopolice.org/,,,,https://www.muckrock.com/agency/chicago-169/chicago-police-department-503/,54,0.0,45.0,False,True,False,True,453,201,36,75,8,39,48,4,0,3,3,35,Chicago,Illinois,l,Local,26-50%
46,Federal Communications Commission,federal-communications-commission,approved,,,,,http://www.fcc.gov/foia/#contact,,,,https://www.muckrock.com/agency/united-states-of-america-10/federal-communications-commission-46/,51,1.0,52.0,True,False,False,True,436,229,16,95,4,40,13,1,8,2,0,28,United States of America,,f,Federal,51-75%
66,Federal Trade Commission,federal-trade-commission,approved,,,,,http://www.ftc.gov/foia/foiarequest.shtm,,,,https://www.muckrock.com/agency/united-states-of-america-10/federal-trade-commission-66/,41,0.0,58.0,False,True,True,True,382,222,24,62,12,21,13,2,0,3,0,23,United States of America,,f,Federal,51-75%
75,Environmental Protection Agency,environmental-protection-agency,approved,,,,,http://www.epa.gov/foia/contacts.html#101,,,,https://www.muckrock.com/agency/united-states-of-america-10/environmental-protection-agency-75/,183,1.0,34.0,True,True,False,True,373,120,25,47,2,100,27,1,1,10,0,39,United States of America,,f,Federal,26-50%
8998,"Department of Interior, Office of the Secretary",department-of-interior,approved,,,,,https://www.doi.gov/foia/os,,,,https://www.muckrock.com/agency/united-states-of-america-10/department-of-interior-8998/,185,0.0,19.0,False,True,True,True,372,64,0,26,38,211,13,8,0,8,1,3,United States of America,,f,Federal,0-25%
174,Boston Police Department,boston-police-department,approved,,,,3216.0,,,,,https://www.muckrock.com/agency/boston-3/boston-police-department-174/,114,4.0,35.0,True,True,True,True,365,122,17,86,8,58,19,2,7,7,0,39,Boston,Massachusetts,l,Local,26-50%
